ID	Titolo del documento	Anno	Vol.	Carta-nr	Carta-lett	Quest.	Note	Nome	Categoria	Titolo categoria	Sottocategoria	Titolo sottocategoria
	0029.01.tif	1933	I	29	b			è caduto? *non lo appiamo.*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0029.01.tif	1933	I	29	c			non *sapevo (saprei)* proprio come fare	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0030.01.tif	1933	I	30				*lo saprò quando vorrò.*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0031.01.tif	1933	I	31				*credi che io sappia* tutto ?	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0032.01.tif	1933	I	32				*se lo sapessi, te lo direi.*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0033.01.tif	1933	I	33				*finiremo per credere* che tu sia povero.	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0034.01.tif	1933	I	34				finiremo per credere *che tu sia povero*.	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0035.01.tif	1933	I	35				*prima di pensare agli altri,* pensa a te stesso.	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0036.01.tif	1933	I	36				prima di pensare agli altri, *pensa a te stesso.*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0037.01.tif	1933	I	37				non potevo *né pensare, né riflettere.*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0038.01.tif	1933	I	38				non *indovinerai* mai *quello che penso*.	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0039.01.tif	1933	I	39				*se tu fossi intelligente*, non faresti capricci [detto ad un bambino].	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0040.01.tif	1933	I	40				se tu fossi intelligente, *non faresti capricci* [detto ad un bambino].	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0041.01.tif	1933	I	41				*ho intenzione* di farti metter giudizio.	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0042.01.tif	1933	I	42				ho intenzione *di farti metter giudizio*.	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0043.01.tif	1933	I	43				*ognuno ha la sua idea.*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0044.01.tif	1933	I	44				*non potevo accorgermene.*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0045.01.tif	1933	I	45				*non ti dò* né torto né ragione.	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0046.01.tif	1933	I	46				non ti dò *né torto né ragione.*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0047.01.tif	1933	I	47				*quando sbaglierò, mi correggerai*.	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0048.01.tif	1933	I	48				*tu dubiti della mia onestà.*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0049.01.tif	1933	I	49	a			*lasciami stare*, oggi ho i nervi.	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0049.01.tif	1933	I	49	b			*lasciatelo* stare!	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0050.01.tif	1933	I	50				 lasciami stare, *oggi ho i nervi*.	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0051.01.tif	1933	I	51				*che brutto carattere!*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0052.01.tif	1933	I	52				*non si adira mai*, è sempre tranquillo.	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0053.01.tif	1933	I	53	a			non si adira mai, *è sempre tranquillo.*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0053.01.tif	1933	I	53	b			è un uomo *serio*.	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0054.01.tif	1933	I	54				*mi è caduto un capello* nella minestra.	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0055.01.tif	1933	I	55				 [egli, ella] è *castagno - a*.	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0056.01.tif	1933	I	56	a			[egli, ella] è *biondo, - a.*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0056.01.tif	1933	I	56	b			[egli, ella] è *bruno, - a*.	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0057.01.tif	1933	I	57	a			è *ricciuto.*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0057.01.tif	1933	I	57	b			 è *canuto.*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0057.01.tif	1933	I	57	c			è *brizzolato.*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0058.01.tif	1933	I	58				è *calvo*.	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0059.01.tif	1933	I	59				[egli] ha *i capelli arruffati*.	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0060.01.tif	1933	I	60				*mi si rizzarono* i capelli [dalla paura].	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0061.01.tif	1933	I	61				*vatti a tosare* i capelli.	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0062.01.tif	1933	I	62				*che belle trecce* di capelli!	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0063.01.tif	1933	I	63				[ella] mi *ha lasciato per ricordo una ciocca* di capelli.	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0064.01.tif	1933	I	64				*hai tante rughe sulla fronte.*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0065.01.tif	1933	I	65				[egli] *si è rotto una tempia*.	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0066.01.tif	1933	I	66				mi *martellano le tempie*.	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0067.01.tif	1933	I	67				[essi] *avevano il viso sporco*.	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0068.01.tif	1933	I	68				*che bel visino!*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0069.01.tif	1933	I	69				[egli] *gli chiuse l'uscio in faccia*.	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0070.01.tif	1933	I	70				*che brutta cera che hai* oggi!	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0071.01.tif	1933	I	71				*se non taci*, ti dò un ceffone.	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0072.01.tif	1933	I	72		47		se non taci, *ti dò un ceffone.*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0073.01.tif	1933	I	73				mi *balla l'occhio destro* e ho un orzaiolo nel sinistro.	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0074.01.tif	1933	I	74				mi balla l'occhio destro *e ho un orzaiolo nel sinistro.*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0075.01.tif	1933	I	75				gli occhi *mi bruciano e mi lacrimano.*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0076.01.tif	1933	I	76				[egli] ha *le sopracciglia e le ciglia* [i peli delle palpebre] *bionde* e gli occhi neri.	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0077.01.tif	1933	I	77				[egli] ha le sopracciglia e le ciglia [i peli delle palpebre] bionde e *gli occhi neri*.	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0078.01.tif	1933	I	78				*mi si è rovesciata una palpebra.*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0079.01.tif	1933	I	79				*dà tu un'occhiata*, perché il sole mi abbarbaglia.	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0080.01.tif	1933	I	80				dà tu un'occhiala, perché il sole *mi abbarbaglia.*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0081.01.tif	1933	I	81				sta fermo ! mi vuoi *cavare un occhio* ~ *cavare tutti e due gli occhi?!*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0082.01.tif	1933	I	82				è ...[privo d'un occhio], *anzi è cieco del tutto.*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0083.01.tif	1933	I	83				[egli] *ha gli occhi torti* [è losco, è affettoo da strabismo].	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0084.01.tif	1933	I	84				*hai gli occhi pesti* [hai i lividi, le pesche agli occhi].	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0085.01.tif	1933	I	85				[egli] ha *una perla in un occhio*.	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0086.01.tif	1933	I	86				*voglio parlarti a quattr'occhi.*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0087.01.tif	1933	I	87				è *arrivato in un batter d'occhi.*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0088.01.tif	1933	I	88				mi *costa un occhio.*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0089.01.tif	1933	I	89				[egli] mi *guardava con la coda dell'occhio.*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0090.01.tif	1933	I	90				*anche se lo vedessi*, non ci crederei.	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0091.01.tif	1933	I	91				anche se lo vedessi, *non ci crederei.*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0092.01.tif	1933	I	92				[egli] *ha la vista corta* e porla gli occhiali.	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0093.01.tif	1933	I	93				[egli] ha la vista corta *e porta gli occhiali.*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0094.01.tif	1933	I	94				[egli] mi *strizzò l'occhio*, perché non dicessi nulla.	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0095.01.tif	1933	I	95				[egli] mi strizzò l'occhio, *perché non dicessi nulla*.	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0096.01.tif	1933	I	96				*ci vendicheremo!* occhio per occhio !	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0097.01.tif	1933	I	97				ci vendicheremo! *occhio per occhio!*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0098.01.tif	1933	I	98				[egli] *mi ha dato il malocchio.*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0099.01.tif	1933	I	99				*le tue lacrime non mi commuovono.*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0100.01.tif	1933	I	100				quante lacrime *ho versato per te!*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0101.01.tif	1933	I	101				*mi vien voglia* di piangere e di ridere insieme.	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0102.01.tif	1933	I	102				mi vien voglia *di piangere e di ridere insieme.*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0103.01.tif	1933	I	103				*soffiati il naso* che è pieno di moccio.	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0104.01.tif	1933	I	104				soffiati il naso *che è pieno di moccio.*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0105.01.tif	1933	I	105				[egli] ha *il naso rincagnato*.	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0106.01.tif	1933	I	106				[egli] ha *un nasino grazioso.*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0107.01.tif	1933	I	107				[egli] ha *un nasone rosso come un peperone.*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0108.01.tif	1933	I	108				*non son bene informato*, devo giudicare a lume di naso.	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0109.01.tif	1933	I	109				non son bene informato, *devo giudicare* a lume di naso.	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0110.01.tif	1933	I	110				non son bene informato, devo giudicare *a lume di naso*.	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0111.01.tif	1933	I	111				*non ho paura*, mi so levar la mosca dal naso.	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0112.01.tif	1933	I	112				non ho paura, *mi so levar la mosca* dal naso.	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0113.01.tif	1933	I	113				non ho paura, mi so levar la mosca *dal naso*.	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0114.01.tif	1933	I	114				[egli] *è un ficcanaso.*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0115.01.tif	1933	I	115				*non capisco che odore abbia.*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0116.01.tif	1933	I	116				che puzzo!	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0117.01.tif	1933	I	117				*senti come* [ egli] *starnuta!*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0118.01.tif	1933	I	118				[egli] *ha gli zigomi sporgenti.*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0119.01.tif	1933	I	119				[egli] *mangia molto*, ha buone ganasce .	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0120.01.tif	1933	I	120				[egli] mangia molto, *ha buone ganasce.*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0121.01.tif	1933	I	121				*mi son fatto male al mento* e a una guancia ~ alle guance.	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0122.01.tif	1933	I	122				mi son fatto male al mento *e a una guancia* ~ *alle guance.*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0123.01.tif	1933	I	123				[egli] ha *una bazza* [mento lungo e sporgente]	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0124.01.tif	1933	I	124				[egli] ha *il mento con la fossetta.*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0125.01.tif	1933	I	125				*fammi la barba!*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0126.01.tif	1933	I	126				*ho battuto sulla bocca,* mi si è spaccato il labbro e mi sanguina la gengiva.	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0127.01.tif	1933	I	127				ho battuto sulla bocca, *mi si è spaccato il labbro* e mi sanguina la gengiva.	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0128.01.tif	1933	I	128				ho balluto sulla bocca, mi si è spaccalo il labbro e *mi sanguina* la gengiva.	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0129.01.tif	1933	I	129	a			ho ballulo ulla bocca, mi si è spaccato il labbro e mi sanguina *la gengiva.*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0129.01.tif	1933	I	129	b			mi fanno male i denti e *le gengive.*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0130.01.tif	1933	I	130				*una volta portava il pizzo.*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0131.01.tif	1933	I	131				[essi] *ridevano sotto i baffi.*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0132.01.tif	1933	I	132				ti potresti *leccare i baffi.*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0133.01.tif	1933	I	133				apri *la bocca del sacco.*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0134.01.tif	1933	I	134				*che bella bocchina!*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0135.01.tif	1933	I	135				*è caduto bocconi.*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0136.01.tif	1933	I	136				ti voglio *baciare,* dammi *un bacio!*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0137.01.tif	1933	I	137				*ti confido un segreto,* ma acqua in bocca	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0138.01.tif	1933	I	138				ti confido un ·segreto, *ma acqua in bocca!*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0139.01.tif	1933	I	139				*lo sbadiglio va di bocca in bocca.*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0140.01.tif	1933	I	140				[egli] *non fa che* sbadigliare, sputare e ruttare.	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0141.01.tif	1933	I	141				[egli] non fa che *sbadigliare, sputare e ruttare.*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0142.01.tif	1933	I	142	a			*mi viene da vomitare.*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0142.01.tif	1933	I	142	b			mi viene *il vomito.*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0143.01.tif	1933	I	143				pulisci *quello sputo sul pavimento* [di una stanza]	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0144.01.tif	1933	I	144				ha *un sapore dolce ~ agro.*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0145.01.tif	1933	I	145				é *amaro come il fiele.*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0146.01.tif	1933	I	146				*al solo vederlo* [un buon piatto], mi viene l'acquolina in bocca.	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0147.01.tif	1933	I	147				al solo vederlo [un buon piatto], *mi viene l'acquolina in bocca.*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
